Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,2016,Persons,80-84,"1,100"
Actual,Melanoma of the skin,2017,Persons,80-84,"1,167"
Actual,Melanoma of the skin,2018,Persons,80-84,"1,185"
Actual,Melanoma of the skin,2019,Persons,80-84,"1,281"
Actual,Melanoma of the skin,2020,Persons,80-84,"1,276"
Projections,Melanoma of the skin,2021,Persons,80-84,"1,422"
Projections,Melanoma of the skin,2022,Persons,80-84,"1,499"
Projections,Melanoma of the skin,2023,Persons,80-84,"1,565"
Projections,Melanoma of the skin,2024,Persons,80-84,"1,665"
Actual,Melanoma of the skin,1982,Males,85-89,14
Actual,Melanoma of the skin,1983,Males,85-89,16
Actual,Melanoma of the skin,1984,Males,85-89,24
Actual,Melanoma of the skin,1985,Males,85-89,30
Actual,Melanoma of the skin,1986,Males,85-89,24
Actual,Melanoma of the skin,1987,Males,85-89,24
Actual,Melanoma of the skin,1988,Males,85-89,60
Actual,Melanoma of the skin,1989,Males,85-89,53
Actual,Melanoma of the skin,1990,Males,85-89,60
Actual,Melanoma of the skin,1991,Males,85-89,61
Actual,Melanoma of the skin,1992,Males,85-89,60
Actual,Melanoma of the skin,1993,Males,85-89,72
Actual,Melanoma of the skin,1994,Males,85-89,81
Actual,Melanoma of the skin,1995,Males,85-89,101
Actual,Melanoma of the skin,1996,Males,85-89,110
Actual,Melanoma of the skin,1997,Males,85-89,94
Actual,Melanoma of the skin,1998,Males,85-89,114
Actual,Melanoma of the skin,1999,Males,85-89,121
Actual,Melanoma of the skin,2000,Males,85-89,133
Actual,Melanoma of the skin,2001,Males,85-89,148
Actual,Melanoma of the skin,2002,Males,85-89,188
Actual,Melanoma of the skin,2003,Males,85-89,195
Actual,Melanoma of the skin,2004,Males,85-89,191
Actual,Melanoma of the skin,2005,Males,85-89,242
Actual,Melanoma of the skin,2006,Males,85-89,242
Actual,Melanoma of the skin,2007,Males,85-89,271
Actual,Melanoma of the skin,2008,Males,85-89,317
Actual,Melanoma of the skin,2009,Males,85-89,333
Actual,Melanoma of the skin,2010,Males,85-89,342
Actual,Melanoma of the skin,2011,Males,85-89,355
Actual,Melanoma of the skin,2012,Males,85-89,403
Actual,Melanoma of the skin,2013,Males,85-89,406
Actual,Melanoma of the skin,2014,Males,85-89,453
Actual,Melanoma of the skin,2015,Males,85-89,452
Actual,Melanoma of the skin,2016,Males,85-89,482
Actual,Melanoma of the skin,2017,Males,85-89,490
Actual,Melanoma of the skin,2018,Males,85-89,495
Actual,Melanoma of the skin,2019,Males,85-89,493
Actual,Melanoma of the skin,2020,Males,85-89,498
Projections,Melanoma of the skin,2021,Males,85-89,550
Projections,Melanoma of the skin,2022,Males,85-89,579
Projections,Melanoma of the skin,2023,Males,85-89,608
Projections,Melanoma of the skin,2024,Males,85-89,643
Actual,Melanoma of the skin,1982,Females,85-89,23
Actual,Melanoma of the skin,1983,Females,85-89,29
Actual,Melanoma of the skin,1984,Females,85-89,30
Actual,Melanoma of the skin,1985,Females,85-89,36
Actual,Melanoma of the skin,1986,Females,85-89,34
Actual,Melanoma of the skin,1987,Females,85-89,56
Actual,Melanoma of the skin,1988,Females,85-89,59
Actual,Melanoma of the skin,1989,Females,85-89,36
Actual,Melanoma of the skin,1990,Females,85-89,53
Actual,Melanoma of the skin,1991,Females,85-89,57
Actual,Melanoma of the skin,1992,Females,85-89,66
Actual,Melanoma of the skin,1993,Females,85-89,75
Actual,Melanoma of the skin,1994,Females,85-89,88
Actual,Melanoma of the skin,1995,Females,85-89,94
Actual,Melanoma of the skin,1996,Females,85-89,107
Actual,Melanoma of the skin,1997,Females,85-89,119
Actual,Melanoma of the skin,1998,Females,85-89,129
Actual,Melanoma of the skin,1999,Females,85-89,112
Actual,Melanoma of the skin,2000,Females,85-89,135
Actual,Melanoma of the skin,2001,Females,85-89,133
Actual,Melanoma of the skin,2002,Females,85-89,165
Actual,Melanoma of the skin,2003,Females,85-89,169
Actual,Melanoma of the skin,2004,Females,85-89,168
Actual,Melanoma of the skin,2005,Females,85-89,166
Actual,Melanoma of the skin,2006,Females,85-89,184
Actual,Melanoma of the skin,2007,Females,85-89,185
Actual,Melanoma of the skin,2008,Females,85-89,192
Actual,Melanoma of the skin,2009,Females,85-89,230
Actual,Melanoma of the skin,2010,Females,85-89,260
Actual,Melanoma of the skin,2011,Females,85-89,244
Actual,Melanoma of the skin,2012,Females,85-89,287
Actual,Melanoma of the skin,2013,Females,85-89,294
Actual,Melanoma of the skin,2014,Females,85-89,278
Actual,Melanoma of the skin,2015,Females,85-89,314
Actual,Melanoma of the skin,2016,Females,85-89,348
Actual,Melanoma of the skin,2017,Females,85-89,315
Actual,Melanoma of the skin,2018,Females,85-89,331
Actual,Melanoma of the skin,2019,Females,85-89,333
Actual,Melanoma of the skin,2020,Females,85-89,284
Projections,Melanoma of the skin,2021,Females,85-89,364
